title,price,store,sells,location,commentcount
"""【6日24期免息享10重礼】vivo X30双模5G专业影像旗舰50mm人像技术手机官方旗舰正品新款vivox30 5g新品手机""",3298.0,"""苏宁易购官方旗舰店""",668人收货,江苏 南京,259.0
"""【6日4+64G立省100】红米note8 4800万四摄拍照游戏学生智能手机redmi全面屏pro小米官方旗舰店正品7xiaomi""",999.0,"""小米官方旗舰店""",1.5万+人收货,北京,39168.0
"""【6日享24期免息】红米k20 pro尊享版骁龙855Plus大存储学生智能游戏手机30小米官方旗舰店redmi正品""",2799.0,"""小米官方旗舰店""",1.0万+人收货,北京,16946.0
"""【6日享24期免息】红米k20pro尊享版骁龙855Plus大存储智能游戏学会手机小米官方旗舰店redmi正品xiaomi""",2799.0,"""小米官方旗舰店""",954人收货,北京,11455.0
"""【6日优惠100元+套餐赠耳机】OPPOReno Ace骁龙855plus智能游戏手机全面屏65W闪充官方旗舰店opporeno3""",2999.0,"""苏宁易购官方旗舰店""",806人收货,江苏 南京,4580.0
"""【6日低至539起】红米7A大电量大字体大音量智能拍照学生老年人小米官方旗舰店官网正品xiaomi红米小米手机""",539.0,"""小米官方旗舰店""",613人收货,北京,1913.0
"""【6日低至539起】红米7A大电量大字体大音量智能拍照学生老年人小米官方旗舰店官网正品xiaomi红米小米手机""",579.0,"""小米官方旗舰店""",4027人收货,北京,20960.0
"""【6日低至699起】红米8 5000mAh大电量智能全面屏学生老年人全网通手机小米官方旗舰店redmi8官网小米手机""",749.0,"""小米官方旗舰店""",4169人收货,北京,3188.0
"""【6日全版本立省100】红米8A 大电量大屏幕智能游戏学生老年人手机小米官方旗舰店官网redmi红米8a正品""",599.0,"""小米官方旗舰店""",1.5万+人收货,北京,21135.0
"""【6日开抢！ 6+128G省300元赠充电宝】小米CC9e4800万全面屏手机拍照游戏学生指纹小米官方旗舰店正品xiaomi""",1099.0,"""小米官方旗舰店""",726人收货,北京,1545.0
"""【6日开抢！6+128G省300元赠充电宝】小米CC9e 4800万全面屏手机拍照游戏学生小米官方旗舰店正品Xiaomi""",1199.0,"""小米官方旗舰店""",7000+人收货,北京,13434.0
"""【6日立减200+套餐赠耳机】OPPOK5 6400万超清像素四摄高通骁龙730G美颜拍照VOOC闪充 4G全网通手机oppok5""",1799.0,"""苏宁易购官方旗舰店""",3128人收货,江苏 南京,3517.0
"""【6日购机赠耳机】红米k30 索尼6400万大电量120Hz智能游戏学生手机K20升级redmi小米官方旗舰店网正品xiaomi""",1699.0,"""小米官方旗舰店""",2.0万+人收货,北京,8849.0
"""【6期免息/当天发+送天猫方糖】红米K30手机 Xiaomi/小米 RedmiK30官方旗舰店网9pro5G版K20pro尊享版 K30pro""",1599.0,"""三际数码官方旗舰店""",913人收货,山东 济南,365.0
"""【899起】红米note8 4800万四摄全面屏手机拍照智能学生红米note7小米官方旗舰正品红米k30 note8pro""",899.0,"""苏宁易购官方旗舰店""",3414人收货,江苏 南京,5664.0
"""【下单减300】OPPO Reno Ace opporenoace手机新款上市oppoace新品reno2 0ppofind未来xr17pro 0pp0reno r19""",2999.0,"""oppo平实专卖店""",1004人收货,广东 广州,2304.0
"""【下单减300】OPPO Reno Ace opporenoace手机新款上市oppoace新品reno2 0ppofind未来xr17pro 0pp0reno r19""",2999.0,"""oppo平实专卖店""",1024人收货,广东 广州,2341.0
"""【下单立减189元】Apple/苹果 iPhone 8 Plus 64G 全网通4G手机 官方正品苹果iPhone8plus 苹果8p""",4388.0,"""苏宁易购官方旗舰店""",717人收货,江苏 南京,234144.0
"""【下单立减200元】Apple/苹果 iPhone 8 128G 移动联通电信全网通4G智能手机 苹果8手机""",3999.0,"""苏宁易购官方旗舰店""",642人收货,江苏 南京,1569.0
"""【下单立减200赠耳机】OPPO K5全面屏6400万四摄4G拍照游戏智能手机官方旗舰店正品oppok5 k3 k1""",1799.0,"""oppo官方旗舰店""",1.0万+人收货,广东 东莞,15214.0
"""【下单立减400元】Apple/苹果 iPhone 11 移动联通电信4G全网通智能手机正品苏宁易购官方旗舰店Store苹果11""",5499.0,"""苏宁易购官方旗舰店""",2984人收货,江苏 南京,2918.0
"""【下单至高省100】vivo U3x新品vivou3x千元拍照智能手机大电池官方旗舰店官网正品学生老人u1 y93""",799.0,"""vivo官方旗舰店""",9500+人收货,广东 东莞,16413.0
"""【下单至高省100】vivo iQOO Neo 高通骁龙845处理器游戏指纹全面屏智能手机正品vivoiqooneo iqooneo 新iqoo""",2098.0,"""vivo官方旗舰店""",897人收货,广东 东莞,29370.0
"""【下拉详情页跳转链接享24期免息】小米CC9美图定制版智能游戏学生女性手机大屏大字小米官方旗舰店xiaomi""",1999.0,"""小米官方旗舰店""",1000人收货,北京,1875.0
"""【下拉详情页跳转链接享24期免息】小米CC9美图定制版智能游戏学生女性手机大屏大字小米官方旗舰店xiaomi""",1999.0,"""小米官方旗舰店""",1024人收货,北京,1887.0
