,title,store,type,sells,price
204,['【二手9成新】三星 Galaxy S7 Edge G9350 二手三星S7edge'],['爱悠品二手商品专营店'],4G+32G 全网通4G,1302,1092.71
205,['海语(HAIYU)H1联通移动电信老人机'],['杰百兴手机通讯专营店'],联通移动版,1294,48.5
206,['金立 Gionee K3 6GB+128GB 极光蓝 5000mAh大电池 后置双摄 6.2英寸水滴屏 微信8开 全网通4G 双卡双待'],['金立手机京东自营旗舰店'],4GB+64GB,1293,749.0
207,['努比亚 nubia Z20 钻石黑 8GB+128GB 4800万三摄 超清双屏自拍 全网通 移动联通电信4G'],['努比亚京东自营旗舰店'],8GB+512GB,1290,3199.0
208,['【二手9成新】苹果8Plus'],['好机汇二手商品专营店'],256G 全网通,1281,3185.75
209,['【二手9成新】苹果se'],['闪搜二手手机专营店'],64G 全网通,1274,923.25
210,['荣耀play3'],['新松联手机旗舰店'],全网通 4GB+64GB,1269,883.0
211,['【二手9成新】Apple iPhone6 Plus 苹果6Plus 二手'],['福汇优品二手手机专营店'],64G 全网通,1251,947.33
212,['【二手95新】Huawei/华为 P20 Pro '],['闲至优品二手手机旗舰店'],6GB+128GB,1247,1879.0
213,['【二手9成新】Apple iPhone 6s Plus苹果6s plus 二手'],['泰业优品二手手机旗舰店'],16G 全网通,1246,963.5
214,['【二手9成新】Apple苹果6s iPhone6S 二手'],['马顺二手商品专营店'],32G 全网通,1241,842.0
215,['【二手9成新】Apple iPhone6 二手苹果6'],['信谊二手商品专营店'],64G 全网通,1231,781.33
216,['【二手9成新】苹果7'],['翱行二手商品专营店'],128G 全网通,1212,1309.67
217,['【二手9成新】苹果7 Plus'],['翱行二手商品专营店'],128G 全网通,1211,1784.67
218,['【二手9成新】乐视'],['信谊二手商品专营店'],X520 3+32G 全网通,1199,358.0
